Resource,Function,Type,Category,AWS Env,Data Isolation,Upstream dependencies,Downstream dependencies,Priority,Observability
aws_api_gateway_rest_api.onboarding,Onboarding REST API Gateway,API Gateway,API,qa,Shared,None,"API Gateway Resources (resource, methods, integrations)",Critical,"CloudWatch Metrics, API Gateway Logs (if enabled)"
aws_api_gateway_resource.onboarding,API Resource /onboarding,API Gateway Resource,API,qa,Shared,API Gateway REST API,"API Gateway Methods (POST, OPTIONS)",High,CloudWatch Metrics
aws_api_gateway_method.post_onboarding,POST Method Handler,API Gateway Method,API,qa,Shared,"API Gateway REST API, API Gateway Resource","API Gateway Integration (Lambda)",Critical,CloudWatch Metrics
aws_api_gateway_integration.lambda,Lambda Integration for POST,API Gateway Integration,API,qa,Shared,"API Gateway Method (POST), Lambda Function","API Gateway Deployment",Critical,CloudWatch Metrics
aws_api_gateway_method.options_onboarding,CORS OPTIONS Method Handler,API Gateway Method,API,qa,Shared,"API Gateway REST API, API Gateway Resource","API Gateway Integration (OPTIONS)",Medium,CloudWatch Metrics
aws_api_gateway_integration.options,CORS OPTIONS Integration,API Gateway Integration,API,qa,Shared,API Gateway Method (OPTIONS),"API Gateway Method Response",Medium,CloudWatch Metrics
aws_api_gateway_method_response.options_200,CORS OPTIONS 200 Response,API Gateway Method Response,API,qa,Shared,API Gateway Method (OPTIONS),"API Gateway Integration Response",Medium,CloudWatch Metrics
aws_api_gateway_integration_response.options,CORS OPTIONS Integration Response,API Gateway Integration Response,API,qa,Shared,"API Gateway Integration (OPTIONS), API Gateway Method Response",API Gateway Deployment,Medium,CloudWatch Metrics
aws_api_gateway_deployment.onboarding,API Gateway Deployment,API Gateway Deployment,API,qa,Shared,"All API Gateway Resources (methods, integrations, responses)","API Gateway Stage",Critical,CloudWatch Metrics
aws_api_gateway_stage.main,API Gateway Stage (qa),API Gateway Stage,API,qa,Shared,API Gateway Deployment,"API Gateway Method Settings",Critical,"CloudWatch Metrics, API Gateway Access Logs (if configured)"
aws_api_gateway_method_settings.all,API Gateway Throttling & Metrics Settings,API Gateway Method Settings,API,qa,Shared,"API Gateway REST API, API Gateway Stage",None,High,CloudWatch Metrics
aws_lambda_function.onboarding_handler,Onboarding Request Handler Lambda,Lambda Function,Compute,qa,Shared,"IAM Role (lambda_execution), Lambda Package (archive_file), CloudWatch Log Group","API Gateway Integration, DynamoDB Tables",Critical,"CloudWatch Logs, CloudWatch Metrics, X-Ray Tracing (PassThrough)"
aws_cloudwatch_log_group.lambda_logs,Lambda Execution Logs,CloudWatch Log Group,Observability,qa,Shared,None,Lambda Function,Critical,"CloudWatch Logs, CloudWatch Insights"
aws_lambda_permission.api_gateway,API Gateway Invoke Permission,Lambda Permission,Security,qa,Shared,"Lambda Function, API Gateway REST API",API Gateway Integration,Critical,CloudTrail
aws_iam_role.lambda_execution,Lambda Execution IAM Role,IAM Role,Security,qa,Shared,None,"Lambda Function, IAM Role Policies",Critical,CloudTrail
aws_iam_role_policy.lambda_logging,CloudWatch Logs Policy for Lambda,IAM Role Policy,Security,qa,Shared,IAM Role (lambda_execution),Lambda Function,High,CloudTrail
